observation_date,BOPTIMP
1992-01-01,52277
1992-02-01,52513
1992-03-01,52935
1992-04-01,53411
1992-05-01,53963
1992-06-01,54551
1992-07-01,55313
1992-08-01,55395
1992-09-01,55515
1992-10-01,56556
1992-11-01,56214
1992-12-01,57446
1993-01-01,56439
1993-02-01,56076
1993-03-01,59813
1993-04-01,59584
1993-05-01,58598
1993-06-01,59275
1993-07-01,59200
1993-08-01,58805
1993-09-01,60679
1993-10-01,62069
1993-11-01,61361
1993-12-01,61271
1994-01-01,61365
1994-02-01,62974
1994-03-01,64772
1994-04-01,64323
1994-05-01,65070
1994-06-01,66831
1994-07-01,67230
1994-08-01,68710
1994-09-01,69026
1994-10-01,69019
1994-11-01,71147
1994-12-01,71281
1995-01-01,72442
1995-02-01,71894
1995-03-01,74057
1995-04-01,74682
1995-05-01,74845
1995-06-01,75478
1995-07-01,74247
1995-08-01,74173
1995-09-01,74867
1995-10-01,74219
1995-11-01,74523
1995-12-01,75342
1996-01-01,76764
1996-02-01,77217
1996-03-01,77553
1996-04-01,78870
1996-05-01,80288
1996-06-01,78516
1996-07-01,79536
1996-08-01,80919
1996-09-01,80748
1996-10-01,80404
1996-11-01,81531
1996-12-01,83317
1997-01-01,84179
1997-02-01,85001
1997-03-01,85433
1997-04-01,85855
1997-05-01,86277
1997-06-01,86043
1997-07-01,87132
1997-08-01,87365
1997-09-01,88556
1997-10-01,88472
1997-11-01,88086
1997-12-01,90327
1998-01-01,89784
1998-02-01,89495
1998-03-01,91692
1998-04-01,91566
1998-05-01,91349
1998-06-01,90208
1998-07-01,90098
1998-08-01,91540
1998-09-01,91999
1998-10-01,94166
1998-11-01,94290
1998-12-01,93127
1999-01-01,94349
1999-02-01,96680
1999-03-01,96421
1999-04-01,97476
1999-05-01,99585
1999-06-01,102700
1999-07-01,104221
1999-08-01,105271
1999-09-01,106426
1999-10-01,107315
1999-11-01,109759
1999-12-01,112131
2000-01-01,113133
2000-02-01,116334
2000-03-01,118672
2000-04-01,117957
2000-05-01,118123
2000-06-01,122040
2000-07-01,122447
2000-08-01,123043
2000-09-01,126230
2000-10-01,125555
2000-11-01,124642
2000-12-01,124475
2001-01-01,125997
2001-02-01,120401
2001-03-01,122063
2001-04-01,118424
2001-05-01,115572
2001-06-01,115089
2001-07-01,113104
2001-08-01,111975
2001-09-01,109726
2001-10-01,109650
2001-11-01,108449
2001-12-01,105288
2002-01-01,108938
2002-02-01,111764
2002-03-01,111506
2002-04-01,116037
2002-05-01,116453
2002-06-01,118296
2002-07-01,117637
2002-08-01,120075
2002-09-01,119575
2002-10-01,117862
2002-11-01,123435
2002-12-01,125186
2003-01-01,123668
2003-02-01,123176
2003-03-01,126963
2003-04-01,124602
